order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amout
616,526,20,Cheese,East Rebecca,2023-09-04,23,307.27
506,1052,399,Soap,Timothyfort,2024-11-07,0,200.26
694,1187,516,Soap,New Kimberlyburgh,2024-01-28,23,60.45
30,1674,237,Gloves,Robertmouth,2022-06-30,27,143.57
801,1110,493,Chair,West George,2021-09-24,22,61.9
868,1918,102,Shirt,New Vanessashire,2025-12-07,21,179.36
135,851,199,Pants,Jeffreyport,2025-01-03,12,102.78
883,883,525,Chips,North Bonnieview,2022-03-18,7,38.72
692,1612,455,Chair,Karenfort,2021-10-10,15,48.91
188,1385,19,Tuna,Lake Troy,2024-10-11,11,109.52
632,439,460,Sausages,Brownmouth,2021-01-17,6,308.38
547,1190,485,Table,Joanland,2023-11-05,16,280.31
646,1840,277,Gloves,Beckystad,2023-06-29,4,200.15
919,1519,202,Table,Derrickfurt,2023-10-25,13,43.1
835,1020,42,Car,Pamelafort,2021-08-20,5,132.37
666,682,351,Shirt,Hallmouth,2021-04-24,20,336.61
568,140,384,Chair,Emilychester,2022-07-16,1,305.6
204,758,586,Shoes,Chavezfort,2023-10-01,13,203.28
436,1407,40,Bike,East Crystalborough,2025-02-04,28,124.86
574,1320,381,Gloves,Normanborough,2023-05-03,19,232.26
801,1204,399,Ball,East Samanthastad,2021-06-14,6,100.55
523,1730,59,Tuna,Port Chase,2025-12-03,0,71.52
233,400,349,Cheese,Lake John,2022-05-10,14,70.49
703,1868,71,Keyboard,Mcneilland,2021-11-23,17,327.25
643,93,585,Ball,Zacharyburgh,2022-10-08,18,88.8
733,2,290,Salad,South Douglas,2025-11-14,1,98.31
108,1103,506,Car,North Deborah,2021-10-19,19,119.92
802,958,376,Pizza,New Markshire,2023-06-27,19,97.64
750,548,126,Hat,Jessicashire,2024-07-03,30,111.54
557,1129,262,Gloves,New Yvetteberg,2024-11-17,14,264.38
331,1009,391,Chicken,South Tiffany,2021-06-19,2,234.83
162,1496,503,Bike,West Steven,2021-01-19,28,189.36
979,1826,256,Bike,Grayberg,2021-06-22,14,26.41
804,98,383,Mouse,Christineburgh,2025-11-21,21,310.56
